nombre,accuracy,precision,recall,f1,tiempo_ms,tamanio_mb,epochs,lr,dropout,activacion,capas,seed
ep30_lr0.001_drop0.3_ReLU_512-256,0.999251497005988,0.9992564539794584,0.999251497005988,0.999251427203296,0.0505887326740083,1.1262073516845703,30,0.001,0.3,ReLU,512-256,42
ep30_lr0.001_drop0.3_GELU_512-256,0.999251497005988,0.9992566949434464,0.999251497005988,0.9992525681298734,0.0471499349389757,1.1262073516845703,30,0.001,0.3,GELU,512-256,84
ep50_lr0.001_drop0.3_ReLU_512-256,1.0,1.0,1.0,1.0,0.0717739264170328,1.1262073516845703,50,0.001,0.3,ReLU,512-256,126
ep50_lr0.001_drop0.3_GELU_512-256,1.0,1.0,1.0,1.0,0.0931978935287112,1.1262073516845703,50,0.001,0.3,GELU,512-256,168
ep30_lr0.01_drop0.3_ReLU_512-256,1.0,1.0,1.0,1.0,0.0957674568607693,1.126175880432129,30,0.01,0.3,ReLU,512-256,210
ep30_lr0.01_drop0.3_GELU_512-256,1.0,1.0,1.0,1.0,0.0426857953979855,1.126175880432129,30,0.01,0.3,GELU,512-256,252
ep50_lr0.01_drop0.3_ReLU_512-256,0.998502994011976,0.9985067086670332,0.998502994011976,0.9984986526815148,0.0905816753705342,1.126175880432129,50,0.01,0.3,ReLU,512-256,294
ep50_lr0.01_drop0.3_GELU_512-256,1.0,1.0,1.0,1.0,0.0350974973232027,1.126175880432129,50,0.01,0.3,GELU,512-256,336
ep30_lr0.001_drop0.5_ReLU_512-256,1.0,1.0,1.0,1.0,0.047325910556884,1.1262073516845703,30,0.001,0.5,ReLU,512-256,378
ep30_lr0.001_drop0.5_GELU_512-256,1.0,1.0,1.0,1.0,0.0232834191549392,1.1262073516845703,30,0.001,0.5,GELU,512-256,420
ep50_lr0.001_drop0.5_ReLU_512-256,1.0,1.0,1.0,1.0,0.0379365824517749,1.1262073516845703,50,0.001,0.5,ReLU,512-256,462
ep50_lr0.001_drop0.5_GELU_512-256,0.998502994011976,0.9985088808028302,0.998502994011976,0.9984991988234034,0.0352376983279273,1.1262073516845703,50,0.001,0.5,GELU,512-256,504
ep30_lr0.01_drop0.5_ReLU_512-256,0.998502994011976,0.9985226914591868,0.998502994011976,0.9985064049339996,0.0460213493733179,1.126175880432129,30,0.01,0.5,ReLU,512-256,546
ep30_lr0.01_drop0.5_GELU_512-256,0.999251497005988,0.9992546157684632,0.999251497005988,0.999250965161206,0.0534666081269582,1.126175880432129,30,0.01,0.5,GELU,512-256,588
ep50_lr0.01_drop0.5_ReLU_512-256,0.999251497005988,0.999252426823372,0.999251497005988,0.999250416441658,0.0399116367574722,1.126175880432129,50,0.01,0.5,ReLU,512-256,630
ep50_lr0.01_drop0.5_GELU_512-256,1.0,1.0,1.0,1.0,0.01990600237770686,1.126175880432129,50,0.01,0.5,GELU,512-256,672
ep30_lr0.001_drop0.3_ReLU_256-128,0.999251497005988,0.9992566949434464,0.999251497005988,0.9992525681298734,0.017626815372043185,0.6227283477783203,30,0.001,0.3,ReLU,256-128,714
