nombre,accuracy,precision,recall,f1,tiempo_ms,tamanio_mb,epochs,lr,dropout,activacion,capas,seed
ep50_lr0.001_drop0.3_GELU_512-256,1.0,1.0,1.0,1.0,0.0931978935287112,1.1262073516845703,50,0.001,0.3,GELU,512-256,168
ep50_lr0.001_drop0.3_ReLU_512-256,1.0,1.0,1.0,1.0,0.0717739264170328,1.1262073516845703,50,0.001,0.3,ReLU,512-256,126
ep30_lr0.01_drop0.3_GELU_512-256,1.0,1.0,1.0,1.0,0.0426857953979855,1.126175880432129,30,0.01,0.3,GELU,512-256,252
ep30_lr0.01_drop0.3_ReLU_512-256,1.0,1.0,1.0,1.0,0.0957674568607693,1.126175880432129,30,0.01,0.3,ReLU,512-256,210
ep50_lr0.01_drop0.3_GELU_512-256,1.0,1.0,1.0,1.0,0.0350974973232027,1.126175880432129,50,0.01,0.3,GELU,512-256,336
ep50_lr0.001_drop0.5_ReLU_512-256,1.0,1.0,1.0,1.0,0.0379365824517749,1.1262073516845703,50,0.001,0.5,ReLU,512-256,462
ep30_lr0.001_drop0.5_GELU_512-256,1.0,1.0,1.0,1.0,0.0232834191549392,1.1262073516845703,30,0.001,0.5,GELU,512-256,420
ep30_lr0.001_drop0.5_ReLU_512-256,1.0,1.0,1.0,1.0,0.047325910556884,1.1262073516845703,30,0.001,0.5,ReLU,512-256,378
ep50_lr0.01_drop0.5_GELU_512-256,1.0,1.0,1.0,1.0,0.0199060023777068,1.126175880432129,50,0.01,0.5,GELU,512-256,672
ep50_lr0.001_drop0.3_ReLU_512-256-128,1.0,1.0,1.0,1.0,0.0142661162785121,1.2506637573242188,50,0.001,0.3,ReLU,512-256-128,1470
ep50_lr0.001_drop0.5_GELU_256-128,1.0,1.0,1.0,1.0,0.0144310035402812,0.6227283477783203,50,0.001,0.5,GELU,256-128,1176
ep50_lr0.001_drop0.5_ReLU_256-128,1.0,1.0,1.0,1.0,0.0198271539476182,0.6227283477783203,50,0.001,0.5,ReLU,256-128,1134
ep30_lr0.01_drop0.3_GELU_256-128,1.0,1.0,1.0,1.0,0.0117578582158164,0.6226968765258789,30,0.01,0.3,GELU,256-128,924
ep50_lr0.01_drop0.3_ReLU_256-128,1.0,1.0,1.0,1.0,0.0138217494601295,0.6226968765258789,50,0.01,0.3,ReLU,256-128,966
ep50_lr0.01_drop0.3_GELU_256-128,1.0,1.0,1.0,1.0,0.0115260056086948,0.6226968765258789,50,0.01,0.3,GELU,256-128,1008
ep50_lr0.001_drop0.3_ReLU_256-128,1.0,1.0,1.0,1.0,0.0104337457626584,0.6227283477783203,50,0.001,0.3,ReLU,256-128,798
ep30_lr0.001_drop0.5_ReLU_512-256-128,1.0,1.0,1.0,1.0,0.0146666405692933,1.2506637573242188,30,0.001,0.5,ReLU,512-256-128,1722
ep50_lr0.001_drop0.5_GELU_512-256-128,1.0,1.0,1.0,1.0,0.0039129597800118,1.2506637573242188,50,0.001,0.5,GELU,512-256-128,1848
