epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,112.95,0.36051,0.997,1,0.00845,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048
2,224.928,0.05131,0.9985,1,0.00364,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187
3,342.204,0.03274,1,1,0.00232,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126
4,464.221,0.03545,0.997,1,0.01008,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,582.477,0.02989,1,1,0.00117,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,699.296,0.02468,0.99925,1,0.00263,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,815.082,0.0204,0.9985,1,0.00309,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,941.798,0.01778,1,1,0.00094,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1059.89,0.01754,1,1,0.00054,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1170.73,0.01747,1,1,0.00127,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1279.97,0.01899,0.99925,1,0.00095,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1389.57,0.01543,0.9985,1,0.00365,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1501.45,0.01655,1,1,0.00031,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1616.87,0.01536,0.99925,1,0.00476,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1731.8,0.01198,1,1,0.00012,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1842.69,0.01543,1,1,7e-05,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1951.71,0.01248,0.99925,1,0.00159,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2061.62,0.01268,1,1,8e-05,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2171.08,0.01167,1,1,5e-05,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2284.08,0.00976,1,1,5e-05,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2402.06,0.0135,1,1,5e-05,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2520.2,0.01178,1,1,2e-05,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2632.93,0.01302,1,1,4e-05,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2744.69,0.00989,1,1,5e-05,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2856.5,0.00982,1,1,4e-05,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2970.96,0.00928,1,1,5e-05,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,3089.27,0.00831,1,1,4e-05,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,3206.88,0.00954,1,1,3e-05,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,3321.89,0.00932,1,1,2e-05,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,3434.36,0.00762,1,1,1e-05,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,3546.8,0.00858,1,1,1e-05,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,3660.58,0.00733,1,1,1e-05,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3774.02,0.0057,1,1,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3888.7,0.00647,1,1,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,4002.63,0.00688,1,1,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,4116.88,0.00898,1,1,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,4229.67,0.00576,1,1,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,4340.59,0.00498,1,1,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4450.64,0.00444,1,1,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4561.14,0.00311,1,1,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,4698.95,0.00416,1,1,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4808.26,0.0031,1,1,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,4916.78,0.00297,1,1,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,5025.81,0.00207,1,1,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,5135.03,0.0025,1,1,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,5246.57,0.00211,1,1,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,5356.16,0.00211,1,1,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,5468.48,0.00186,1,1,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,5575.86,0.00198,1,1,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,5686.51,0.00128,1,1,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
