epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,112.05,0.39173,0.99775,1,0.00815,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048
2,222.01,0.06436,0.99925,1,0.00265,0.0197935,0.00659784,0.0197935,0.00659784,0.0197935,0.00659784,0.0197935,0.00659784
3,327.211,0.04257,0.99475,1,0.01316,0.0293976,0.00979921,0.0293976,0.00979921,0.0293976,0.00979921,0.0293976,0.00979921
4,433.869,0.04652,1,1,0.00155,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,539.523,0.03578,0.99925,1,0.00152,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,645.997,0.02935,0.99625,1,0.00554,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,752.79,0.02835,0.99925,1,0.00088,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,859.624,0.02249,1,1,0.00075,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,965.914,0.02167,0.99925,1,0.00119,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1071.88,0.02548,1,1,0.00025,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1179.53,0.02435,0.99925,1,0.00095,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1285.43,0.02073,0.99925,1,0.00113,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1392.48,0.02229,1,1,0.00014,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1498.57,0.02198,0.99925,1,0.00153,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1605.28,0.02135,0.99925,1,0.0026,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
